篇名,作者,关键词,摘要,没有引进词表的jieba提取的中药材,引进词表的jieba提取的中药材
桑叶馒头制作工艺的研究,"段晓霞,姜晓旭,姜明明,秦利,姜义仁","桑叶,馒头,糖尿病,制作工艺","糖尿病是人类最重要的非传染性疾病之一,血糖控制是糖尿病防治的重要措施.桑叶自古就被用于治疗糖尿病,现代研究表明桑叶内含有多种功能成分,属药食同源材料.本研究采用桑叶粉及桑叶汁作为配料,以小麦粉为主要原料制作保健馒头,通过测定比容,并结合感观鉴评,确定桑叶粉馒头和桑叶汁馒头的最佳工艺参数,确定桑叶成分的保健馒头制作工艺.研究结果表明,桑叶粉馒头的混合面粉中桑叶粉最佳添加量为.％、最佳酵母添加量为.％、发酵温度为?℃;桑叶汁馒头的混合面粉中桑叶汁最佳添加量为.％、最佳酵母添加量为.％、发酵温度为?℃.本研究为丰富糖尿病患者的主食品种方面提供了新思路,同时,可为进一步拓宽蚕桑综合利用产业奠定基础.","桑叶, 桑叶汁","桑叶, 桑叶汁"
不同季节遮荫对青钱柳生长和主要次生代谢物积累的影响,"邓波,尚旭兰,刘桂华,徐丹丹,方升佐","青钱柳,光照强度,收获季节,黄酮,三萜","青钱柳是近年来开发利用的我国特有药食同源珍稀植物,其叶中含有的活性次生代谢物对人体健康具有促进作用.探索光照条件和收获季节等环境因子对主要次生代谢物积累的影响以及生长与次生代谢物积累间关系,有助于优化药用青钱柳人工林栽培条件.该文采用遮荫处理,研究不同遮荫水平下—月青钱柳叶中黄酮类和三萜类化合物积累、苗高和地径生长的变化,在此基础上分析青钱柳次生代谢与生长间的关系.结果表明:中度遮荫促进了青钱柳苗的高生长,但随遮荫程度加大,地径生长不断下降.黄酮类化合物、总三萜和青钱柳甙Ⅰ的积累受到遮荫处理的抑制,而青钱柳酸B和阿江榄仁酸的含量在遮荫条件下明显高于自然光下.在自然光下,黄酮类化合物的含量在月和月明显高于其他季节,呈""双峰型""变化模式.但遮荫处理推迟了黄酮类物质积累的高峰.遮荫处理并未影响三萜类化合物的季节变化模式,总三萜和三萜单体的含量在不同遮荫水平下均在月达到最大,呈""单峰型""变化模式.相关性分析结果表明,总三萜和阿江榄仁酸的积累与青钱柳生长间存在显著负相关关系.由此可见,遮荫不仅显著降低了黄酮类化合物的积累,而且推迟了其积累高峰;而三萜的季节变异模式未受遮荫影响,但不同三萜单体对光照的响应存在差异.",青钱柳,青钱柳
一起肠炎沙门菌引起的食物中毒调查分析,"彭立昌,马骏","肠炎沙门菌,脉冲场电泳,耐药,食物中毒,调查","目的查明本次食物中毒事件的发生原因和可疑危险因素,同时对致病菌药物敏感性进行分析.方法通过发病时间和用餐时间结合病例临床特征分析查找可疑餐次,采集可疑食物和病例等标本进行实验室检测,食物及病例阳性标本做脉冲场凝胶电泳(PFGE)同源性分析,同时对致病菌做耐药分析.结果共确认例病例,症状主要为发热≥℃(.％,/)、腹痛(.％,/)、腹泻≥次(.％,/)、呕吐(.％,/)等,食用被鸡蛋壳污染的蛋炒饭是发病的危险因素,厨师在制作蛋炒饭时,附有肠炎沙门菌的鸡蛋壳没有清洗干净,炒饭是将蛋液浇到米饭上,加热不彻底,最后导致肠炎沙门菌污染蛋炒饭.病例粪便检测为肠炎沙门菌阳性,和食物蛋炒饭中分离的肠炎沙门菌PFGE图谱完全一致,且与生鸡蛋壳涂抹样品中分离的肠炎沙门菌相似度达％.头孢噻肟、环丙沙星、复方新诺明(TMP/SMZ)等对肠炎沙门菌具有较好的药物敏感性,萘啶酸耐药性强.结论食用被肠沙门菌污染的蛋炒饭是导致本次食物中毒的主要原因,建议加强对餐饮机构厨师的监督管理,规范卫生操作流程,提高卫生安全意识,防止类似事件再次发生.",鸡蛋壳,鸡蛋壳
高效液相色谱-四极杆-静电场轨道阱高分辨质谱分析桑葚中黄酮类和多酚类物质,"马悦,赵乐凤,吕子燕,孙乐,吴巍,刘淑莹","桑葚,高效液相色谱,四极杆-静电场轨道阱高分辨质谱,黄酮,多酚",为了更好地利用桑葚这一药食同源果品，采用高效液相色谱‐四极杆‐静电场轨道阱高分辨质谱对桑葚提取物中黄酮类和多酚类成分进行分析研究。采用SyncronisC色谱柱（mm×.mm，.μm），以乙腈‐.％甲酸水溶液为流动相，流速.mL／min，梯度洗脱分析。根据高分辨质谱提供的准分子离子峰和碎片离子信息，分析得到化合物的相对分子质量和结构信息。结合化合物的保留时间、对照品和相关文献数据，共鉴定出种黄酮类成分和种多酚类成分，分别为芦丁、异槲皮素、山奈酚‐‐葡萄糖苷、二氢槲皮素、槲皮素、原儿茶酸、绿原酸和咖啡酸。通过讨论化合物的质谱碎裂规律，为化合物的结构鉴定提供依据。该方法可快速分析桑葚中黄酮类和多酚类成分，为合理开发桑葚的药用、食用价值奠定化学基础。,"槲皮, 咖啡","槲皮, 咖啡"
决明子水煎剂降低营养性高脂血症大鼠血脂量效关系研究,"郭换,李峰庆,杨昌林,王嘉鑫,郑权,陈林,刘友平,陈鸿平","决明子水煎剂,高脂模型,降血脂,量效关系","目的:研究决明子水煎剂对营养性高脂血模型大鼠血清血脂和肝脏组织中脂质的量效关系,为药食同源中药决明子的安全、有效、合理使用提供参考.方法:采用高脂饲料喂养的方法建立营养性高脂血大鼠模型,分别给予.、.、.、.、.g/kg个决明子水煎剂剂量,通过检测不同剂量决明子水煎剂对动物血清中甘油三酯(TC)、总胆固醇(TG)、高密度脂蛋白(HDL-C)、低密度脂蛋白(LDL-C)、动脉粥样硬化指数(AI)项指标及肝组织中TC、TG、丙二醛(MDA),总超氧化物歧化酶(T-SOD)项指标,经GraphPadPrism.软件拟合量效曲线,评价决明子水煎剂降低营养性高脂血症大鼠血脂量效关系,计算相关剂量阈参数.结果:决明子水煎剂对高脂血症大鼠血清血脂项指标量效曲线呈良好的“S”型,剂量阈D-D和阈剂量D.多集中在.～.g/kg范围内,肝脏组织中脂质项指中有项指标量效曲线呈良好的“S”型,剂量阈D-D和阈剂量D多集中在.～.g/kg范围内.结论:决明子水煎剂降低营养性高脂血模型大鼠血清血脂和肝脏组织中脂质量效曲线呈良好的“S”型,且其阈剂量均在.～.g/kg,提示中剂量为有效剂量范围,折合成人体用量约为.～.g,进一步验证后可为药食同源中药决明予的合理使用提供参考.",决明子,决明子
铁皮石斛的临床应用与保健养生,"叶信,陈勇,魏中璇,魏江存,庾延和,张昕,阙祖亮,庞丹清","铁皮石斛,临床应用,养生,药用价值","铁皮石斛是久享盛名的名贵中草药,具有治病养生的作用,其含有大量有益于人体健康的有效成分,在临床应用、保健养生、药食同源、美容护肤及花卉观赏等领域有着广泛的应用前景.但目前市场上对铁皮石斛的研究不够深入,还需要我们更进一步的研究其药理作用,研发出其相关药品和保健品,充分挖掘铁皮石斛的药用价值.",石斛,石斛
多花黄精有效成分与主要环境因子的相关性,"叶钱,蒋燕锋,冯家骏,冯恺俊,谢彩香,刘京晶","植物学,多花黄精,多糖,皂苷,环境因子",多花黄精Polygonatumcyrtonema的根茎是药食同源的中药材，用途广泛，目前多利用野生资源。收集了不同种源的多花黄精，采用蒽酮-浓硫酸比色法和香草醛-冰醋酸-高氯酸比色法分别测定根茎中总多糖和总皂苷质量分数，并分析这种有效成分与环境因子间的相关性。结果表明：多花黄精总多糖质量分数为.~.mg·g-，总皂苷质量分数为.~.mg·g-，来源于个不同种源地的多花黄精化学质量存在较大的差异：浙江金华磐安种源的多糖质量分数最高，浙江丽水莲都区皂苷质量分数最高；环境因子中活动积温与多糖质量分数呈极显著负相关（r＝.，P＝.），生长期适当的低温有利于多糖的积累。表参,黄精,黄精
内蒙古荞麦产业现状及展望,"王仙女,罗中旺","荞麦,产业现状,展望","荞麦是一种药食同源的重要杂粮作物,内蒙古地区作为荞麦的主产区之一,文章阐述了内蒙古荞麦产业现状及存在问题,根据生产上存在问题进行对荞麦发展方向进行展望.",荞麦,荞麦
桑叶理化成分及其加工技术研究进展,"刘青茹,王彬,周春江,刘婧,张晓伟,贺晶","桑叶茶,GABA,DNJ,理化成分,加工技术","桑叶是药食同源的绿色新资源食品,含有黄酮、多糖、GABA、DNJ等多种功能性成分,不含咖啡因且滋味尚佳,适宜加工为代用茶.目前,桑叶茶加工以桑绿茶为主,桑红茶、桑叶乌龙茶及发酵桑叶茶亦有研究.",桑叶,桑叶
白果的特异生物活性和药理作用研究进展,"赵珮妮,和法涛,宋烨,吴茂玉,葛邦国,刘光鹏","白果,提取分离,生物活性,药理作用,功能产品","白果(银杏果)是一种含有丰富营养成分和特异生物活性物质的药食同源性植物资源.目前已发现其具有多种药理功能.白果中的多糖、内酯及蛋白等有效成分受到国内外研究者的关注,并在其提取纯化技术及功效评价方面进行了深入研究.我国是白果产量大国,具有丰富的白果种质资源,但是我国白果的深加工产业水平较低,白果资源没有得到有效利用,白果价值没有充分实现.针对上述问题,本文对白果活性成分的提取分离技术和生物活性等研究进展进行综述,并就国内外关于白果活性成分的药理作用方面的研究进行分析,对白果功能产品进行展望,旨在对我国白果产业进行一定引导及激励,引发对白果这一优质资源的更多关注和开发,促进国内白果产业的快速发展.",白果,白果
沙棘功能性食品的开发研究现状,刘君丽,,"沙棘,别名沙枣、达普、吉汉、酸柳果、酸柳、其察日嘎察,是胡颓子科沙棘属的一种耐干寒、耐盐碱、耐贫瘠、生命力极强的落叶灌木或乔木果树.我国是世界上沙棘资源最多的国家,主要分布在华北、西北、西南等地.沙棘是药食同源的植物,早在唐代,沙棘就已被蒙医、藏医、维医用于治疗多种疾病.随着科技进步,人们通过进一步研究沙棘,发现了其更多的活性因子与药用价值,将沙棘开发为多种功能性食品.","沙棘, 沙枣, 胡颓子","沙棘, 沙枣, 胡颓子"
红景天枸杞山楂复合饮料的研制,"孙军涛,张智超,孟荍","复合饮料,红景天,枸杞,山楂,稳定性","以红景天、枸杞、山楂种药食同源材料为原料,通过单因素和正交试验研制一种功能性复合饮料.结果表明:该复合饮料的最佳配方为红景天提取液%、枸杞提取液%、山楂提取液%、蜂蜜添加量为.%,白砂糖添加量为.%,添加.%海藻酸钠和.%羧甲基纤维素钠时,复合饮料的稳定性最好.该复合饮料呈棕红色,清亮透明,红景天香气浓郁,酸甜适中.","红景天, 枸杞, 山楂, 蜂蜜, 白砂糖, 海藻","红景天, 枸杞, 山楂, 蜂蜜, 白砂糖, 海藻"
β-环糊精增敏三维荧光法鉴别真伪五指毛桃,"陈立弟,文震,陈庆,何红霞,郑宗坤","三维荧光,五指毛桃,β-环糊精,敏化","为建立药食同源五指毛桃真伪品的三维荧光快速鉴别方法,研究β-环糊精(β-CD)对五指毛桃提取液的荧光增强作用.五指毛桃提取液在弱酸性条件下与β-CD形成主客体超分子化合物,提高了约一个数量级的荧光强度,为五指毛桃的荧光测定创造了条件.考察了五指毛桃与β-CD质量比m(五指毛桃):m(β-CD)、敏化体系pH值、敏化时间和温度等因素对五指毛桃β-CD体系荧光光谱的影响,正交实验确定了敏化最佳条件,即m(五指毛桃):m(β-CD)=l:,敏化时间lh,pH值为.,敏化温度℃.在优化β-CD敏化条件下,三维荧光等高线图谱特征、荧光峰位置、强度作为五指毛桃指纹识别的参考依据.建立了β-CD敏化三维荧光光谱法鉴定五指毛桃的方法,灵敏度高,重现性好,可应用于五指毛桃的真伪品的快速鉴别.",五指毛桃,五指毛桃
现代生物技术在甘草中的应用研究进展,"王锦玉,王莉鑫,韩馥蔓,仝燕,王智民","甘草,甘草酸,甘草黄酮,生物合成,基因调控,DNA鉴定","甘草作为药食同源的常用中药,受到了药学及生物学家的广泛关注,现代生物技术与中药甘草的结合也日益紧密,笔者对近年来利用生物技术在甘草方面的研究开发进展进行总结,包括甘草活性成分生物合成关键酶基因研究,道地药材形成机制基因解析,有效成分生物合成的基因调控以及DNA鉴定等,以期为甘草的深入研究提供更广阔的科研思路.",甘草,甘草
棘胸蛙养殖常见的病害及防治方法,阙炳根,,"棘胸蛙(Ranaspinosa)又名石鸡、石冻、石蛙、石坑蛙等,是我国特有的大型食用蛙,具有药食同源的功能,是名贵的山珍之一.棘胸蛙养殖投资少、经济效益高,是山区农民致富的一条好门路._xD_
棘胸蛙对生活环境要求较高,在人工养殖过程中,由于养殖水域水质恶化、饲养管理不善等原因,常发生一些病害,给养殖者造成一定的经济损失.现将棘胸蛙养殖常见的病害及防治技术介绍如下,供参考.",棘胸蛙,棘胸蛙
中药山楂的化学成分与药理作用研究概况,葛建中,"中药,山楂,化学成分,药理作用","山楂在中药领域属于一种药食同源植物,其包含了许多化学成分,有三萜类、有机酸类、黄酮类、黄烷及其聚合物类等.同时,山楂的药理作用主要有调节血脂、降低血压、保护肝脏、强心、抗癌、抗氧化、正性肌力、提高免疫力以及促进胃肠道消化等,并在中药领域得到广泛应用.本次研究主要对中药山楂的化学成分以及其药理作用进行充分研究,并为控制山楂药物质量以及进一步开发利用提供参考研究.",山楂,山楂
